Frame; Time (ms); Time (s); Delta
528;4428,09;4,43;8,02
529;4436,03;4,44;7,94
530;4444,69;4,44;8,66
531;4452,96;4,45;8,27
532;4461,09;4,46;8,13
533;4469,16;4,47;8,07
534;4477,17;4,48;8,01
535;4485,14;4,49;7,97
536;4493,14;4,49;8
537;4501,28;4,5;8,14
538;4509,58;4,51;8,3
539;4517,75;4,52;8,17
540;4525,99;4,53;8,24
541;4534,33;4,53;8,34
542;4542,51;4,54;8,18
543;4552,03;4,55;9,52
544;4560,37;4,56;8,34
545;4568,76;4,57;8,39
546;4576,75;4,58;7,99
547;4584,84;4,58;8,09
548;4592,88;4,59;8,04
549;4600,85;4,6;7,97
550;4608,8;4,61;7,95
551;4616,79;4,62;7,99
552;4624,55;4,62;7,76
553;4632,43;4,63;7,88
554;4640,32;4,64;7,89
555;4648,25;4,65;7,93
556;4656,12;4,66;7,87
557;4664,34;4,66;8,22
558;4672,39;4,67;8,05
559;4680,52;4,68;8,13
560;4688,5;4,69;7,98
561;4696,46;4,7;7,96
562;4704,43;4,7;7,97
563;4712,9;4,71;8,47
564;4721,87;4,72;8,97
565;4729,81;4,73;7,94
566;4737,63;4,74;7,82
567;4745,71;4,75;8,08
568;4754,15;4,75;8,44
569;4762,31;4,76;8,16
570;4770,58;4,77;8,27
571;4778,61;4,78;8,03
572;4786,78;4,79;8,17
573;4795,09;4,8;8,31
574;4803,23;4,8;8,14
575;4811,16;4,81;7,93
576;4819,16;4,82;8
577;4827,79;4,83;8,63
578;4835,61;4,84;7,82
579;4843,54;4,84;7,93
580;4851,53;4,85;7,99
581;4859,65;4,86;8,12
582;4867,62;4,87;7,97
583;4875,81;4,88;8,19
584;4883,74;4,88;7,93
585;4891,57;4,89;7,83
586;4899,44;4,9;7,87
587;4907,25;4,91;7,81
588;4915,33;4,92;8,08
589;4923,39;4,92;8,06
590;4931,74;4,93;8,35
591;4939,67;4,94;7,93
592;4947,9;4,95;8,23
593;4955,99;4,96;8,09
594;4963,9;4,96;7,91
595;4971,97;4,97;8,07
596;4979,97;4,98;8
597;4987,79;4,99;7,82
598;4996,08;5;8,29
599;5004,19;5;8,11
600;5012,13;5,01;7,94
601;5020,77;5,02;8,64
602;5028,74;5,03;7,97
603;5036,7;5,04;7,96
604;5044,8;5,04;8,1
605;5052,81;5,05;8,01
606;5060,33;5,06;7,52
607;5071,29;5,07;10,96
608;5081;5,08;9,71
609;5165,69;5,17;84,69
610;5189,22;5,19;23,53
611;5220,15;5,22;30,93
612;5242,74;5,24;22,59
613;5252,08;5,25;9,34
614;5262,38;5,26;10,3
615;5272,32;5,27;9,94
616;5282,65;5,28;10,33
617;5291,9;5,29;9,25
618;5301,34;5,3;9,44
619;5311;5,31;9,66
620;5325,16;5,33;14,16
621;5340,14;5,34;14,98
622;5353,63;5,35;13,49
623;5368,84;5,37;15,21
624;5385,09;5,39;16,25
625;5401,26;5,4;16,17
626;5416,93;5,42;15,67
627;5433,16;5,43;16,23
628;5449,82;5,45;16,66
629;5467,9;5,47;18,08
630;5484,93;5,48;17,03
631;5502,18;5,5;17,25
632;5521,18;5,52;19
633;5539,58;5,54;18,4
634;5554,28;5,55;14,7
635;5572,13;5,57;17,85
636;5586,25;5,59;14,12
637;5595,45;5,6;9,2
638;5604,45;5,6;9
639;5615,38;5,62;10,93
640;5624,14;5,62;8,76
641;5633,3;5,63;9,16
642;5641,93;5,64;8,63
643;5651,32;5,65;9,39
644;5660,75;5,66;9,43
645;5669,53;5,67;8,78
646;5679,23;5,68;9,7
647;5688,23;5,69;9
648;5696,93;5,7;8,7
649;5705,36;5,71;8,43
650;5714,2;5,71;8,84
651;5722,62;5,72;8,42
652;5731,46;5,73;8,84
653;5739,87;5,74;8,41
654;5748,15;5,75;8,28
655;5756,82;5,76;8,67
656;5764,95;5,76;8,13
657;5773,04;5,77;8,09
658;5781,39;5,78;8,35
659;5789,66;5,79;8,27
660;5797,69;5,8;8,03
661;5805,89;5,81;8,2
662;5814,49;5,81;8,6
663;5835,04;5,84;20,55
664;5932,5;5,93;97,46
665;5962,38;5,96;29,88
666;5973,37;5,97;10,99
667;5981,85;5,98;8,48
668;5989,72;5,99;7,87
669;5997,72;6;8
