Frame; Time (ms);Time (s);Delta
334;2837,584;2,837584;8,302
335;2845,886;2,845886;8,132
336;2854,018;2,854018;8,125
337;2862,143;2,862143;7,987
338;2870,13;2,87013;8,04
339;2878,17;2,87817;8,865
340;2887,035;2,887035;8,232
341;2895,267;2,895267;8,167
342;2903,434;2,903434;8,213
343;2911,647;2,911647;8,125
344;2919,772;2,919772;8,663
345;2928,435;2,928435;8,091
346;2936,526;2,936526;8,225
347;2944,751;2,944751;8,448
348;2953,199;2,953199;8,409
349;2961,608;2,961608;8,202
350;2969,81;2,96981;8,36
351;2978,17;2,97817;8,316
352;2986,486;2,986486;8,13
353;2994,616;2,994616;8,065
354;3002,681;3,002681;9,306
355;3011,987;3,011987;8,171
356;3020,158;3,020158;8,956
357;3029,114;3,029114;8,879
358;3037,993;3,037993;8,001
359;3045,994;3,045994;8,041
360;3054,035;3,054035;8,138
361;3062,173;3,062173;7,977
362;3070,15;3,07015;8,082
363;3078,232;3,078232;8,308
364;3086,54;3,08654;8,238
365;3094,778;3,094778;8,089
366;3102,867;3,102867;8,133
367;3111;3,111;7,935
368;3118,935;3,118935;7,953
369;3126,888;3,126888;8,17
370;3135,058;3,135058;8,958
371;3144,016;3,144016;7,991
372;3152,007;3,152007;8,054
373;3160,061;3,160061;8,312
374;3168,373;3,168373;7,97
375;3176,343;3,176343;8,028
376;3184,371;3,184371;8,699
377;3193,07;3,19307;8,08
378;3201,15;3,20115;7,986
379;3209,136;3,209136;8,274
380;3217,41;3,21741;7,94
381;3225,35;3,22535;9,593
382;3234,943;3,234943;8,058
383;3243,001;3,243001;8,203
384;3251,204;3,251204;7,987
385;3259,191;3,259191;8,374
386;3267,565;3,267565;8,088
387;3275,653;3,275653;8,192
388;3283,845;3,283845;8,13
389;3291,975;3,291975;8,502
390;3300,477;3,300477;8,067
391;3308,544;3,308544;8,016
392;3316,56;3,31656;7,825
393;3324,385;3,324385;8,229
394;3332,614;3,332614;8,002
395;3340,616;3,340616;7,908
396;3348,524;3,348524;7,903
397;3356,427;3,356427;7,893
398;3364,32;3,36432;8,285
399;3372,605;3,372605;8,151
400;3380,756;3,380756;8,08
401;3388,836;3,388836;8,261
402;3397,097;3,397097;8,178
403;3405,275;3,405275;8,529
404;3413,804;3,413804;7,996
405;3421,8;3,4218;8,378
406;3430,178;3,430178;8,305
407;3438,483;3,438483;8,013
408;3446,496;3,446496;7,958
409;3454,454;3,454454;7,978
410;3462,432;3,462432;8,104
411;3470,536;3,470536;7,979
412;3478,515;3,478515;7,97
413;3486,485;3,486485;8,56
414;3495,045;3,495045;8,31
415;3503,355;3,503355;8,606
416;3511,961;3,511961;8,157
417;3520,118;3,520118;8,254
418;3528,372;3,528372;8,024
419;3536,396;3,536396;8,157
420;3544,553;3,544553;8,066
421;3552,619;3,552619;7,937
422;3560,556;3,560556;7,927
423;3568,483;3,568483;7,914
424;3576,397;3,576397;8,097
425;3584,494;3,584494;8,046
426;3592,54;3,59254;8,481
427;3601,021;3,601021;8,916
428;3609,937;3,609937;8,396
429;3618,333;3,618333;8,167
430;3626,5;3,6265;7,9
431;3634,4;3,6344;8,575
432;3642,975;3,642975;7,947
433;3650,922;3,650922;8,706
434;3659,628;3,659628;7,93
435;3667,558;3,667558;7,905
436;3675,463;3,675463;8,513
437;3683,976;3,683976;8,087
438;3692,063;3,692063;8,572
439;3700,635;3,700635;8,082
440;3708,717;3,708717;8,883
441;3717,6;3,7176;8,044
442;3725,644;3,725644;8,22
443;3733,864;3,733864;8,473
444;3742,337;3,742337;8,314
445;3750,651;3,750651;8,062
446;3758,713;3,758713;7,99
447;3766,703;3,766703;8,222
448;3774,925;3,774925;7,922
449;3782,847;3,782847;7,936
450;3790,783;3,790783;7,889
451;3798,672;3,798672;7,867
452;3806,539;3,806539;8,456
453;3814,995;3,814995;8,069
454;3823,064;3,823064;8,036
